hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Victoria Hoi An Beach Resort & Spa,Phòng Đôi Hướng Sông (River View Double Room),3.153.783₫,5.555.556₫,3.153.783₫,NA,NA,NA
Renaissance Danang Hoi An Resort & Spa,"Deluxe, Guest room, 2 Twin, Garden view, Balcony",2.200.000₫,2.100.000₫,2.300.000₫,NA,NA,NA
The Saga Hotel Hoi An - Hotel,Phòng Superior 2 giường (Superior Twin Room),1.346.571₫,NA,NA,NA,NA,NA
Shoreline Stay - Hotel,Cao cấp Hướng Bể Bơi (Superior Pool View),1.700.870₫,NA,NA,NA,NA,NA
