hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Harvest Day Hoi An - Hotel,Standard Double with Garden View,"2,154,248","2,018,606","2,018,606","2,018,606","2,018,606","2,274,535"
Little Oasis - Hotel,Little Oasis Deluxe,"1,815,168","1,869,841","1,869,841","1,869,841","1,860,547","1,860,547"
Grand Sunrise Palace Hội An - Hotel,Phòng Loại Sang Giường Đôi (Deluxe Double Room),"1,646,223","1,420,484","4,752,290","1,699,447","1,746,165","1,746,165"
Reu Boutique Hotel - Hotel,Superior 2 giường hoặc giường đôi (Superior Twin or Double),"1,629,480","2,280,648","2,230,509","2,279,745","2,087,106","2,184,190"
Maison Vy - Hotel,Giường Lớn Cao Cấp (Superior King),"1,285,714","1,427,143","1,242,857","1,242,857","1,242,857","1,242,857"
Sen Village Hội An (Sen Village Hoi An) - Hotel,Phòng Loại Sang (Deluxe Room),"1,077,102","1,403,175","1,325,794","1,243,254","1,243,254","1,243,254"
The Saga Hotel Hoi An - Hotel,Phòng Superior 2 giường (Superior Twin Room),"1,404,643","1,098,166","1,404,643","1,404,643","1,098,166","1,098,166"
Hoi An Chic Green Retreat - Hotel,Chic Suite,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Hoi An Eco Lodge & Spa - Hotel,Phòng Superior giường King (Superior King Room),"887,748","887,748","887,748","887,748","887,748","887,748"
AIRA Boutique Hoi An Hotel & Spa - Hotel,Phòng Loại Sang (Deluxe Room),"2,115,675","1,727,664","1,727,664","2,144,395","2,144,395","2,153,968"
Shoreline Stay - Hotel,Cao cấp Hướng Bể Bơi (Superior Pool View),"1,892,243","2,001,938","1,475,777","2,001,938","1,475,777","1,475,777"
Renaissance Danang Hoi An Resort & Spa,"Deluxe, Guest room, 2 Twin, Garden view, Balcony",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Victoria Hoi An Beach Resort & Spa,Phòng Đôi Hướng Sông (River View Double Room),"2,760,141","4,100,529","3,218,695","3,218,695","2,896,826","2,896,826"
KOI Resort and Spa Hoi An,Bungalow Nhìn ra vườn (Bungalow with Garden View),"2,283,135","2,639,767","2,639,767","2,639,767","2,639,767","2,639,767"
Hoi An Beach Resort,Phòng Superior (Superior Room),"1,567,549","1,329,867","1,765,432","1,765,432","1,685,185","1,533,333"
Palm Garden Beach Resort & Spa,Superior giường đôi hoặc 2 giường đơn Hướng vườn (Superior Double or Twin with Garden View),"2,474,329","2,474,329","2,474,329","2,474,329","2,474,329","2,474,329"
Boutique Hoi An Resort,Phòng Superior (Superior Room),"3,600,000","3,600,000","3,600,000","3,600,000","3,600,000","3,600,000"
Sea'lavie Boutique Resort & Spa,Phòng Deluxe Giường đôi Nhìn ra Hồ bơi (Deluxe Double Pool View),"2,761,905","2,148,148","2,148,148","2,148,148","2,148,148","1,944,444"
ENSO Retreat Hoi An - Rediscovery & Serenity,Phòng Deluxe giường đôi Hướng vườn (Deluxe Double Room Garden View),"1,102,293","1,543,210","1,543,210","1,543,210","1,543,210","1,543,210"
Hoi An Coco River Resort & Spa,Phòng Loại Sang Giường Đôi Hướng Vườn (Deluxe Double Garden View),"4,899,079","4,899,079","4,899,079","4,899,079","4,899,079","4,899,079"
