hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Sen Village Hội An (Sen Village Hoi An) - Hotel,Phòng Loại Sang (Deluxe Room),1.110.673,1.174.175,1.156.665,2.527.041,1.156.581,1.105.081
Maison Vy - Hotel,Giường Lớn Cao Cấp (Superior King),1.388.774,1.388.774,1.388.774,1.242.089,1.197.623,1.242.089
Reu Boutique Hotel - Hotel,Superior 2 giường hoặc giường đôi (Superior Twin or Double),1.498.376₫,2.439.333,2.746.158,2.214.515,2.346.610,1.986.769
Little Oasis - Hotel,Little Oasis Deluxe,2.003.082,2.092.556,1.728.526,1.853.753,1.756.863,1.853.753
Hoi An Chic Green Retreat - Hotel,Chic Suite,NA,NA,NA,NA,NA,NA
Hoi An Eco Lodge & Spa - Hotel,Phòng Superior giường King (Superior King Room),1.222.222,3.292.797,3.291.568,1.166.667,3.291.568,1.166.667
Harvest Day Hoi An - Hotel,Standard Double with Garden View,"₫ 2,151,790","₫ 2,151,790","₫ 2,151,790",2.422.140,"2,660,826","2,422,140"
The Saga Hotel Hoi An - Hotel,Phòng Superior 2 giường (Superior Twin Room),1.157.506,1.222.962,1.186.385,1.178.910₫,1.178.910₫,1.192.243
Grand Sunrise Palace Hội An - Hotel,Phòng Loại Sang Giường Đôi (Deluxe Double Room),1.828.689,1.747.600,2.275.492,1.456.249₫,1.512.069,1.640.939
AIRA Boutique Hoi An Hotel & Spa - Hotel,Phòng Loại Sang (Deluxe Room),1.867.346,1.960.470,1.867.346,2.006.494,1.723.495₫,2.006.494
Renaissance Danang Hoi An Resort & Spa,"Deluxe, Guest room, 2 Twin, Garden view, Balcony",2.050.000,2.200.000,2.250.000,2.100.000,2.200.000,2.000.000
KOI Resort and Spa Hoi An,Bungalow Nhìn ra vườn (Bungalow with Garden View),2.975.906,2.987.672,2.985.184,2.987.672,2.985.184,2.987.672
ENSO Retreat Hoi An - Rediscovery & Serenity,Phòng Deluxe giường đôi Hướng vườn (Deluxe Double Room Garden View),1.406.136,1.401.744,1.406.136,1.299.298,1.308.014,1.299.298
Boutique Hoi An Resort,Phòng Superior (Superior Room),3.297.589,3.191.433,3.157.930,2.969.844,2.966.775,3.088.428
Hoi An Coco River Resort & Spa,Phòng Loại Sang Giường Đôi Hướng Vườn (Deluxe Double Garden View),917.809,1.037.962,NA,1.031.039,987.628,1.046.220
Sea'lavie Boutique Resort & Spa,Phòng Deluxe Giường đôi Nhìn ra Hồ bơi (Deluxe Double Pool View),1.371.347,1.376.168,1.353.922,1.572.124₫,927.987,1.002.954
Victoria Hoi An Beach Resort & Spa,Phòng Đôi Hướng Sông (River View Double Room),3.214.535,2.957.751,3.214.535,2.018.177,1.961.133,2.018.177
Hoi An Beach Resort,Phòng Superior (Superior Room),1.463.649,1.461.041,1.749.514,1.628.879,1.317.109,1.409.092
Shoreline Stay - Hotel,Cao cấp Hướng Bể Bơi (Superior Pool View),1.450.544₫,1.450.544₫,1.748.778,1.654.579,1.450.162₫,1.626.692
Palm Garden Beach Resort & Spa,Superior giường đôi hoặc 2 giường đơn Hướng vườn (Superior Double or Twin with Garden View),3.033.159,3.033.950,3.083.663,3.084.468,2.798.960,2.799.634
