Hotel,URL,Room to be extracted,Location,Platform,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Ancient Huế Garden Houses (Ancient Hue Garden Houses),https://www.agoda.com/vi-vn/ancient-hue-garden-houses/hotel/hue-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922877&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=a47f8aae-d71c-406a-b4c1-74a16abcc074&tspTypes=16&los=1&searchrequestid=275578e4-68d6-4005-9113-fb4bca865c9f&ds=JufM2YFjlqwwYLtK&checkin=2026-04-13,Phòng Đôi Hướng Vườn (Double Room with Garden View),Hue,Agoda,,,,,,,,,,,,,,,,,,,,,
Au Lac Charner,https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Ruffier Deluxe Twin Room without Window,TTD,Agoda,,,,,,,,,,,,,,,,,,,,,
Au Lac Charner,https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Vannier Premier Twin Room,TTD,Agoda,,,,,,,,,,,,,,,,,,,,,
Avana Retreat,https://www.agoda.com/avana-retreat/hotel/hoa-binh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=da6e43b7-5781-49a8-9dbd-5620dd4404f4&checkin=2026-01-12,Mountain Suite,Hòa Bình,Agoda,,,,,,,,,,,,,,,,,,,,,
Bach Place Dalat,https://www.agoda.com/bach-place-dalat/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1833981&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=5420f191-c2ab-4400-9486-5005aa532009&ds=kRNzZxqQmLBulEMM&checkin=2025-12-25,Deluxe Twin - Breakfast,ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Bakhan Village Resort,https://www.agoda.com/bakhan-village-resort/hotel/suoi-rem-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=76207edc-a9c1-4225-a2d9-b80a6522c633&checkin=2026-01-12,Bungalow - Garden View,Hòa Bình,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Attic Deluxe Room (Attic Deluxe Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Attic Deluxe Room (Attic Deluxe Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Deluxe giường đôi có cửa sổ (Deluxe Double with Window),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Deluxe giường đôi có cửa sổ (Deluxe Double with Window),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng cổ điển giường đôi (Classic Double Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng cổ điển giường đôi (Classic Double Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng có giường cỡ King nhìn ra cảnh núi non (King Room with Mountain View),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng có giường cỡ King nhìn ra cảnh núi non (King Room with Mountain View),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Deluxe Giường Đôi Có Bồn Tắm (Deluxe Double Room with Bath),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Deluxe Giường Đôi Có Bồn Tắm (Deluxe Double Room with Bath),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Executive giường đôi (Executive Double Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Executive giường đôi (Executive Double Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Giường Đôi Lớn Loại Sang (Deluxe Queen Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Giường Đôi Lớn Loại Sang (Deluxe Queen Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Hạng Sang Giường Đôi (Elite Double Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Hạng Sang Giường Đôi (Elite Double Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Loại Sang Giường Đôi Có Ban Công Và Bồn Tắm (Deluxe Double Room with Balcony and Bathtub),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Loại Sang Giường Đôi Có Ban Công Và Bồn Tắm (Deluxe Double Room with Balcony and Bathtub),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Suite Hướng núi (Suite Mountain View),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Suite Hướng núi (Suite Mountain View),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Superior giường đôi lớn (Superior Queen Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Superior giường đôi lớn (Superior Queen Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Thương Hiệu (Signature Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Thương Hiệu (Signature Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Ban la - Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Banla Boutique Hotel,https://www.agoda.com/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&tspTypes=2&los=1&searchrequestid=35b7bd7e-edc5-48cd-bfc9-22c1a3529ba2&ds=GK%2BAXD%2B55oiPibg6,Classic Double Room,ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Becamex Hotel New City,https://www.agoda.com/becamex-hotel-new-city/hotel/binh-duong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=0bfc9853-3d6d-4d15-a104-85be76d62e7c&checkin=2026-01-12,Twin One Bedroom Suite,Bình Dương,Agoda,,,,,,,,,,,,,,,,,,,,,
Citadines Central Binh Duong,https://www.agoda.com/citadines-central-binh-duong_2/hotel/binh-duong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=14e70c56-1fa4-44eb-bc24-b28c3036f91f&checkin=2026-01-12,Studio Premier,Bình Dương,Agoda,,,,,,,,,,,,,,,,,,,,,
Colline Dalat,https://www.agoda.com/hotel-colline_3/hotel/dalat-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&tspTypes=8&los=1&searchrequestid=35b7bd7e-edc5-48cd-bfc9-22c1a3529ba2&ds=GK%2BAXD%2B55oiPibg6,Superior Double Room,ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
