Hotel,URL,Room to be extracted,Location,Platform,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Dechiu Hotel - Hotel,https://www.agoda.com/dechiu-hotel/hotel/hoi-an-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=62d312bf-22ba-4558-8047-8872e060e1b4&ds=sKBy4LzJohpzc%2BOe,Double Room with Sea View,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Dechiu Hotel 1 - Hotel,https://www.agoda.com/dechiu-hotel/hotel/hoi-an-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=62d312bf-22ba-4558-8047-8872e060e1b4&ds=sKBy4LzJohpzc%2BOe,Double Room with Queen Bed - Non-Smoking,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
ENSO Retreat Hoi An - Rediscovery & Serenity,https://www.agoda.com/vi-vn/enso-retreat-hoi-an/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=39cf8e12-e160-44fb-a703-a482a491ccab&checkin=2026-02-06,Phòng Deluxe giường đôi Hướng vườn (Deluxe Double Room Garden View),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Fairfield by Marriott South Binh Duong,https://www.agoda.com/fairfield-by-marriott-south-binh-duong/hotel/binh-duong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=30f0e068-4f06-4819-ab06-ca139a002c24&checkin=2026-01-12,"Guest room, 2 Twin",Bình Dương,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Căn hộ sang trọng (Luxury Apartment),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Căn hộ sang trọng (Luxury Apartment),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Phòng Cao Cấp Cho Hai Người (Superior Double Room),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Cao Cấp Cho Hai Người (Superior Double Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Phòng Corner giường đôi - Không hút thuốc (Corner Double Room - Non-Smoking),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Corner giường đôi - Không hút thuốc (Corner Double Room - Non-Smoking),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Phòng Deluxe 2 Giường Đơn Có Ban Công (Deluxe Twin with Balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Deluxe 2 Giường Đơn Có Ban Công (Deluxe Twin with Balcony),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Phòng Deluxe 3 người có ban công (Deluxe Triple Room with balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Deluxe 3 người có ban công (Deluxe Triple Room with balcony),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Phòng Deluxe Giường Đôi với Ban công (Deluxe Double with Balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Deluxe Giường Đôi với Ban công (Deluxe Double with Balcony),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Phòng Loại Sang Hướng Bể Bơi (Deluxe Pool View),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Loại Sang Hướng Bể Bơi (Deluxe Pool View),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Phòng Premium Giường đôi (Premium Double Room),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Premium Giường đôi (Premium Double Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Phòng Superior 2 giường (Superior Twin Room),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Superior 2 giường (Superior Twin Room),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Suite Executive có Ban công (Executive Suite with Balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Suite Executive có Ban công (Executive Suite with Balcony),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Goldient Boutique Hotel DaLat - Suite Junior Có Ban Công (Junior Suite with Balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Suite Junior Có Ban Công (Junior Suite with Balcony),ĐL,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Biệt Thự Signature (Signature Villa),https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Biệt Thự Signature (Signature Villa),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Biệt Thự Suite Junior Có Sân Hiên (Villa Junior Suite with Terrace),https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Biệt Thự Suite Junior Có Sân Hiên (Villa Junior Suite with Terrace),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Biệt Thự Suite Lớn 2 Giường Đơn Hướng Vườn Có Sân Hiên Hoặc Ban Công (Villa Grand Suite Twin Garden View with Terrace or Balcony),https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Biệt Thự Suite Lớn 2 Giường Đơn Hướng Vườn Có Sân Hiên Hoặc Ban Công (Villa Grand Suite Twin Garden View with Terrace or Balcony),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Signature Villa Premier Room with Terrace,https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Signature Villa Premier Room with Terrace,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Signature Villa Suite with Pool Access,https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Signature Villa Suite with Pool Access,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Villa Deluxe Room with Balcony,https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Villa Deluxe Room with Balcony,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Villa Premier Room Pool View with Balcony,https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Villa Premier Room Pool View with Balcony,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Villa Premier Room with Balcony,https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Villa Premier Room with Balcony,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Villa Premier Room with Terrace,https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Villa Premier Room with Terrace,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Grand Hoi An - Villa Suite with Terrace,https://www.agoda.com/vi-vn/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=a4a43b3c-8ce5-468a-8fbb-1f4f3cd02abe&ds=Jut6lYLK9r7THJin&checkin=2026-09-17,Villa Suite with Terrace,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Harvest Day Hoi An - Hotel,https://www.agoda.com/harvest-day-hoi-an-h76212995/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=c27866da-6e13-4cdc-b7b3-f15074847cfd&checkin=2026-01-12,Standard Double with Garden View,HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Hato,https://www.agoda.com/hato-saigon-hotel-rooftop/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-03-11&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=88064a43-db35-443e-b02a-a34ef59cfb3a&ds=V4OwFj%2FJmdc3wSq2,Deluxe Double No Window,TTD,Agoda,,,,,,,,,,,,,,,,,,,,,
Hato,https://www.agoda.com/hato-saigon-hotel-rooftop/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-03-11&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=88064a43-db35-443e-b02a-a34ef59cfb3a&ds=V4OwFj%2FJmdc3wSq2,Premium Twin Room - Non-Smoking,TTD,Agoda,,,,,,,,,,,,,,,,,,,,,
HIIVE by fusion Binh Duong - VSIP 1,https://www.agoda.com/hiive-binh-duong/hotel/binh-duong-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=43a4d055-9151-4a2d-af16-2b1d5f780246&checkin=2026-01-12,Superior Twin,Bình Dương,Agoda,,,,,,,,,,,,,,,,,,,,,
Hoi An Beach Resort,https://www.agoda.com/vi-vn/hoi-an-beach-resort/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-02-6&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=[object%20Object]&los=1&searchrequestid=39e30d86-f318-440d-b37b-b914886e59fe,Phòng Superior (Superior Room),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
Hotel de la Coupole - MGallery,https://www.agoda.com/hotel-de-la-coupole-mgallery-by-sofitel/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=8%2C-1&los=1&searchrequestid=c7d510e7-47c6-4017-8835-67f0adb5dace&checkin=2026-01-12,Classic Room Twin,Sapa,Agoda,,,,,,,,,,,,,,,,,,,,,
KK Sapa Hotel,https://www.agoda.com/kk-sapa-hotel/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=5c4666a0-3593-41d6-b49f-4f2312fba0e6&checkin=2026-01-12,Superior Twin City View,Sapa,Agoda,,,,,,,,,,,,,,,,,,,,,
KOI Resort and Spa Hoi An,https://www.agoda.com/vi-vn/koi-resort-and-spa-hoi-an/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=94bcc34d-8d2e-400e-b81b-a9b56d5c438b&checkin=2026-02-06,Bungalow Nhìn ra vườn (Bungalow with Garden View),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
La siesta - Khu Club 2 tầng Suite có ban công (Club Wing Duplex Suite with Balcony),https://www.agoda.com/vi-vn/la-siesta-hoi-an-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-25&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=b0a06849-2e0d-4650-8356-7db4ece130e9&ds=NOzaP628fmAepzKF,Khu Club 2 tầng Suite có ban công (Club Wing Duplex Suite with Balcony),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
La siesta - Khu Club cao cấp Suite có ban công (Club Wing Premium Suite with Terrace),https://www.agoda.com/vi-vn/la-siesta-hoi-an-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-25&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=b0a06849-2e0d-4650-8356-7db4ece130e9&ds=NOzaP628fmAepzKF,Khu Club cao cấp Suite có ban công (Club Wing Premium Suite with Terrace),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
La siesta - Khu Club hướng hồ bơi Varanda Suite (Club Wing Pool View Veranda Suite),https://www.agoda.com/vi-vn/la-siesta-hoi-an-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-25&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=b0a06849-2e0d-4650-8356-7db4ece130e9&ds=NOzaP628fmAepzKF,Khu Club hướng hồ bơi Varanda Suite (Club Wing Pool View Veranda Suite),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
La siesta - Khu Club Junior Suite có ban công (Club Wing Junior Suite with Balcony),https://www.agoda.com/vi-vn/la-siesta-hoi-an-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-25&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=b0a06849-2e0d-4650-8356-7db4ece130e9&ds=NOzaP628fmAepzKF,Khu Club Junior Suite có ban công (Club Wing Junior Suite with Balcony),HA,Agoda,,,,,,,,,,,,,,,,,,,,,
