hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Sứ Retreat Hoi An - Riverfront Resort,Suite Lớn có Ban Công (Executive Suite with Balcony),"2,579,365","2,896,825","2,896,825","2,896,825","2,896,825","2,976,190"
LEGACY HOI AN RESORT,Phòng Superior hướng vườn (Superior Garden View Room),"1,611,481","2,104,074","1,688,889","1,871,852","1,724,074","1,801,481"
Premier Senvila Boutique Resort & Spa,Deluxe Poolside Balcony with Garden View,"982,339","1,155,091","1,040,362","1,086,277","1,086,299","1,040,362"
Banla Boutique Hotel,Phòng cổ điển giường đôi (Classic Double Room),SOLD OUT,NA,NA,NA,NA,NA
Mơ Stay - Forest Resort,Deluxe Balcony Room,"4,091,711","4,656,085","5,079,365","4,656,085","4,656,085","4,656,085"
Ana Mandara Villas Dalat Resort & Spa,Villa Double Room,"2,762,787","2,903,439","3,187,831","2,903,439","2,903,439","2,903,439"
Colline Dalat,Superior Double Room,"2,232,011","1,763,757","2,232,011","2,232,011","2,156,349","2,156,349"
Terracotta Hotel and Resort Dalat,Superior Twin,"1,949,735","2,060,847","1,869,489","1,766,667","1,962,963","1,892,857"
Le Recit Boutique Hotel de Dalat,Deluxe Twin,"1,287,478","1,287,478","1,499,118","1,499,118","1,499,118","1,499,118"
Swiss-Belresort Tuyen Lam Dalat,Deluxe Mountain View King Room,"1,750,688","1,185,185","1,396,825","1,815,873","1,396,825","1,111,111"
Nexus House An Son Da Lat,Standard Double with Balcony,"483,555","564,148","620,563","564,148","564,148","960,973"
The Pink Boutique Hotel,Classic Double,"1,130,319","1,065,307","1,162,153","1,065,307","1,065,307","1,162,153"
Túi Ba Gang Central Hotel,Deluxe Room -- 1 Bed,SOLD OUT,"1,102,293","1,102,293","1,102,293","1,102,293","1,102,293"
Mùa Dalat Wellness Hotel,Superior Double Room,"1,883,422","1,883,422","1,883,422","1,883,422","1,883,422","1,883,422"
Mercure Dalat Resort,Deluxe Twin,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Bach Place Dalat,Deluxe Twin - Breakfast,"1,499,259","1,323,175","1,323,175","1,323,175","1,323,175","1,323,175"
The Mist Boutique - Deluxe City View,Deluxe City View,"1,349,206","1,578,571","1,578,571","1,578,571","1,457,143","1,457,143"
The Mist Boutique - Suite City View Room,Suite City View Room,"1,649,030","1,929,365","1,929,365","1,929,365","1,929,365","1,780,952"
The Mist Boutique - Double Room,Double Room,"1,049,383",SOLD OUT,"1,076,191","1,133,333",SOLD OUT,"1,133,333"
The Mist Boutique - Deluxe Mountain View,Deluxe Mountain View,"1,651,919","2,115,079","2,115,079","2,115,079","2,115,079","1,952,381"
