hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
LEGACY HOI AN RESORT,Phòng Superior hướng vườn (Superior Garden View Room),1.534.074,1.379.259,1.456.667,1.379.259,1.421.481,1.268.629
Terracotta Hotel and Resort Dalat,Superior Twin,1.600.529,"1,867,284","1,892,857","₫ 1,544,330","₫ 1,544,330","1,807,584"
Le Recit Boutique Hotel de Dalat,Deluxe Twin,"1,089,947","1,499,118","1,293,124","1,499,118","1,499,118","1,499,118"
Mơ Stay - Forest Resort,Deluxe Balcony Room,"2,902,987","2,896,099","2,900,299","3,517,508","3,522,567","3,517,467"
Sứ Retreat Hoi An - Riverfront Resort,Suite Lớn có Ban Công (Executive Suite with Balcony),3.886.984,NA,3.878.119,3.878.119,3.878.119,3.878.119
Banla Boutique Hotel,Phòng cổ điển giường đôi (Classic Double Room),"1,125,220",1.125.220,"1,125,220","1,085,174","1,125,220","₫ 1,117,688"
Premier Senvila Boutique Resort & Spa,Deluxe Poolside Balcony with Garden View,NA,1.142.857,NA,NA,1.253.968,1.269.841
Ana Mandara Villas Dalat Resort & Spa,Villa Double Room,2.314.815,2.314.815,"2,292,546","2,466,931","2,447,245",2.442.558
Swiss-Belresort Tuyen Lam Dalat,Deluxe Mountain View King Room,"1,244,942","1,061,728","1,241,623","1,241,623","1,241,623","1,614,109"
Colline Dalat,Superior Double Room,"1,793,651","2,056,181","1,793,651",2.191.571,"2,296,473","2,094,498"
The Mist Boutique - Double Room,Double Room,"₫ 1,043,147",1.043.147₫,"1,133,333","₫ 1,043,147","1,227,778","₫ 1,043,147"
The Pink Boutique Hotel,Classic Double,"₫ 1,033,061","₫ 1,033,061","1,075,439","1,173,206",1.173.206,"₫ 1,033,061"
Mercure Dalat Resort,Deluxe Twin,2.797.015,2.767.015,2.480.488₫,NA,2.888.000,3.273.000
The Mist Boutique - Deluxe Mountain View,Deluxe Mountain View,"₫ 1,636,411","1,952,381","1,952,381","2,115,079","2,115,079",2.115.079
Mùa Dalat Wellness Hotel,Superior Double Room,"1,349,206","1,349,206","1,349,206",1.436.508,"1,436,508",1.436.508
The Mist Boutique - Suite City View Room,Suite City View Room,1.649.030,"1,780,952","1,780,952","₫ 1,547,400","1,929,365","1,929,365"
The Mist Boutique - Deluxe City View,Deluxe City View,"₫ 1,169,868","1,457,143","1,457,143","1,578,571","1,578,571","1,578,571"
Nexus House An Son Da Lat,Standard Double with Balcony,"1,030,644","1,030,644",1.030.644,"1,030,644","1,030,644","1,030,644"
Bach Place Dalat,Deluxe Twin - Breakfast,"1,366,843",1.272.804,"1,272,804","1,478,095","1,478,095",1.478.095
Túi Ba Gang Central Hotel,Deluxe Room -- 1 Bed,"1,102,293","1,102,293","₫ 809,655","₫ 809,655","1,102,293","1,102,293"
