hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Mai Chau Ecolodge,Superior Twin Room with Garden View,"2,184,965",SOLD OUT,2.243.386,"2,243,386","2,243,386","2,243,386"
The Mist Boutique - Suite Mountain View,Suite Mountain View,"2,825,374","₫ 1,798,534","1,994,906","1,923,899","2,038,469",1.881.208
The Mist Boutique - Tripple Deluxe,Triple Deluxe,"2,207,845",SOLD OUT,"₫ 1,459,979","1,626,589","1,661,084","1,581,100"
The Mist Boutique - Executive Suite,Executive Suite,"₫ 2,057,443","3,085,078","₫ 2,057,443","1,942,312",2.091.297,"1,897,984"
Avana Retreat,Mountain Suite,8.323.951,"8,309,502",7.158.289,"7,158,289","7,158,289","7,158,289"
Mit Retreat,One Bedroom Deluxe Mountain View,SOLD OUT,SOLD OUT,"1,238,755",1.135.158,"1,186,598","651,941"
Bakhan Village Resort,Bungalow - Garden View,"1,127,567",SOLD OUT,"1,235,470","1,235,470","1,234,839",1.260.821
The Mist Boutique - Signature Suite,Signature Suite,"3,373,674",3.020.011₫,"₫ 3,020,011","2,548,598","2,353,336","2,165,997"
TOKI Ecolodge Cao Răm,"Basic Room, Mountain View","2,693,570",SOLD OUT,"2,725,893",2.239.379,"2,702,142","2,243,367"
The Mist Boutique - Tripple Balcony,Triple Balcony,"1,503,105","2,381,726","₫ 1,643,409","1,674,248","1,719,403","₫ 1,641,434"
Hotel de la Coupole - MGallery,Classic Room Twin,"3,175,000","₫ 3,090,881","2,960,000","₫ 3,096,367","₫ 3,090,881","₫ 3,090,881"
Ville De Mont Mountain Resort,On the Rock 1-Bedroom Executive Villa,"6,634,766","8,931,270","6,252,959","6,244,209","6,633,600","6,245,843"
Fairfield by Marriott South Binh Duong,"Guest room, 2 Twin","1,500,000",1.500.000,"1,850,000","1,850,000","1,700,000","1,850,000"
Pao's Sapa Leisure Hotel,Deluxe Garden View,"1,861,958","₫ 1,753,116","1,603,315","1,617,886","1,517,359",1.583.960
Sapa Jade Hill Resort & Spa,Deluxe Valley View Room,"1,586,614","₫ 1,617,299",1.770.408,"1,524,351","1,509,816","1,490,531"
Silk Path Grand Sapa Resort & Spa,Classic Garden View,1.893.355,"6,472,315",6.406.972,"2,116,253","2,563,111","6,224,275"
Topas Ecolodge,Deluxe Suite,"8,115,690",SOLD OUT,"7,909,330","7,530,907","7,755,263","7,772,305"
HIIVE by fusion Binh Duong - VSIP 1,Superior Twin,"1,660,442",1.423.620,"1,540,691","1,661,090","1,631,231","1,716,861"
Citadines Central Binh Duong,Studio Premier,"1,650,000","1,500,000","1,350,000","1,350,000","1,350,000","1,350,000"
KK Sapa Hotel,Superior Twin City View,"1,398,653",1.486.528₫,"1,446,316",1.486.528₫,1.275.234,1.391.546
Legacy Mekong,"Bungalow, 2 Twin, Garden View","4,300,000","4,900,000",4.300.000,"4,300,000","4,300,000","4,300,000"
Vedana Lagoon Wellness Resort & Spa - Villa cạnh đồi (Hillside Villa),Villa cạnh đồi (Hillside Villa),5.607.114,NA,5.522.182,5.522.182,NA,6.838.254
Vedana Lagoon Wellness Resort & Spa - Biệt Thự Hồ Bơi 2 Phòng Ngủ Hướng Đầm Phá - Miễn Phí Cocktail Buổi Chiều (2 Bedrooms Lagoon View Pool Villa - Free afternoon cocktail),Biệt Thự Hồ Bơi 2 Phòng Ngủ Hướng Đầm Phá - Miễn Phí Cocktail Buổi Chiều (2 Bedrooms Lagoon View Pool Villa - Free afternoon cocktail),NA,NA,NA,NA,NA,NA
Ancient Huế Garden Houses (Ancient Hue Garden Houses),Phòng Đôi Hướng Vườn (Double Room with Garden View),2.935.975₫,2.935.975₫,2.935.975₫,3.247.886,3.284.816,3.327.869
Vedana Lagoon Wellness Resort & Spa - Villa bên hồ (Water Villa),Villa bên hồ (Water Villa),5.190.130,5.904.293,4.614.653,4.570.866,4.611.876,4.666.357
Becamex Hotel New City,Twin One Bedroom Suite,"1,434,026","1,478,701","1,463,750",1.493.549,1.493.788,"1,508,534"
Sheraton Can Tho,"Guest room, 2 Twin","1,650,000",1.800.000,"₫ 1,663,156","1,500,000",1.650.000,"1,500,000"
Vedana Lagoon Wellness Resort & Spa - Hillside Biệt thự Có hồ bơi (Hillside Pool Villa),Hillside Biệt thự Có hồ bơi (Hillside Pool Villa),5.465.389,5.897.482,4.612.443,4.611.233,3.990.274,4.434.519
Vedana Lagoon Wellness Resort & Spa - Biệt Thự Trên Mặt Nước Có Hồ Bơi - Cocktail Chiều Miễn Phí (Water Pool Villa - Free afternoon cocktail),Biệt Thự Trên Mặt Nước Có Hồ Bơi - Cocktail Chiều Miễn Phí (Water Pool Villa - Free afternoon cocktail),11.083.754,10.209.063,7.747.115,NA,8.072.101,NA
Vedana Lagoon Wellness Resort & Spa - 2 Bedrooms Lagoon View Villa with Free Afternoon Cocktail,2 Bedrooms Lagoon View Villa with Free Afternoon Cocktail,5.560.254,NA,4.440.260,5.560.254,3.995.439,4.440.260
