Hotel,URL,Room to be extracted,Location,Platform
Hanoi le Jardin Hotel & Spa,https://www.trip.com/hotels/detail/?cityId=286&hotelId=35003649&checkIn=2024-09-03&checkOut=2024-09-04&adult=2&children=0&subStamp=260&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONawsjFJMEkxMTBKDWTkePbwb-LmYQYjQzuM1pslXc8_FUjpp-r0sFzSYEt1_XoGocAnkmM0pw75FpfB97wdxDsPwRUkO_t4MTOMWfNSW8JlhmMjbtuCGxk5Lq-uMC2y8thByPTCcYZW0MXMLXOnym2i4mFY9_dhENAatkK7lNMDJeYGG4xMTxiYnjFxPCJieEXRL6JmaGLmWESM1jVLGaGRcwMUrxmhmkpaebmxpYWhklpCkIam7fd2cZmpDSJkSki4hSjlKG5gZmZuaGBhYWhpZmeZaJFakhuflRacYijFbMUo5sHYxCbo5mxpalllBYXc2iwi-AamagU63oZBynmMD8XxSkJlSutDxvZa4F4hjBeEmtqnm5ERMYMgQLGLkYOAUYPxgjGCsZXjCBVP8BeBQCyhXW8QAEAAA&subChannel=&masterhotelid_tracelogid=61fdf773981bf&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Cozy Le Jardin Classic Room,HN,Trip
Hotel du Lac Hanoi,https://www.trip.com/hotels/detail/?cityId=286&hotelId=98064498&checkIn=2024-09-09&checkOut=2024-09-10&adult=2&children=0&subStamp=672&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONazsjFJMEkxMTBKDWHkePU3EOvWYUYjQzuM1pslXdsfR24Qy60xsFzhxyQeazBIYBnEqM0Z0z_oa8ab4IcBA9_1YjpVwpwcGLnuPDjZaQEywzGTxse6q1gZNzIuM79YZXIvRCHHYxMJxhvtSYuYGpv_qu3i4mF4_-XokNAaul7wVNMDJeYGG4xMTxiYnjFxPCJieEXRL6JmaGLmWESM1jVLGaGRcwMUrzGaYYGKSkWBkbGhqnGCkIa5w8c28ZmpDSJkSki4hSjlKG5gZmZuaGBhYWhpZmeZaJFakhuflRacYijFbMUo5sHYxCbqauhk4VFlBYXc2iwi2Ap0ywO6TgZBynmMD8XxYSLx0qmrjGy1wLxDGG8JNbUPN2IiIx5AgWMXYwcAowejBGMFYyvGEGqfoB9CwBMBwr_QwEAAA&subChannel=&masterhotelid_tracelogid=3f10dd80231e3&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Deluxe Twin Internal Window,HN,Trip
L'Signature Hotel & Spa,https://www.trip.com/hotels/detail/?cityId=286&hotelId=110867470&checkIn=2024-09-09&checkOut=2024-09-10&adult=2&children=0&subStamp=750&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONazsjFJMEkxMTBKDWHkePI_CNvWIUYjQzuM1pslXeUb30duMOpwcEzDQQKmhwCeCYxSnOePQMCIQ6CO-SACiSCHJzYOboe30uSYJnB2PfinckKRsaNjLZc1xcX5AY67GBkOsE4aVP-AqblfV1Wu5hYOLatqDsEpJZ84zvFxHCJieEWE8MjJoZXTAyfmBh-QeSbmBm6mBkmMYNVzWJmWMTMIMWbamiUlpSWaGSWmGZsqCCksf3gsW1sRkqTGJkiIk4xShmaG5iZmRsaWFgYWprpWSZapIbk5kelFYc4WjFLMbp5MAaxObmZuphbRGlxMYcGuwiWMs3ikI6TcZBiDvNzUUy4eKxk6hojey0QzxDGS2JNzdONiMiYJ1DA2MXIIcDowRjBWMH4ihGk6gfYtwD3MzyGQwEAAA&subChannel=&masterhotelid_tracelogid=e12fbfa26af31&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Superior Double No Window,HN,Trip
Aira Boutique Hanoi Hotel & Spa,https://www.trip.com/hotels/detail/?cityId=286&hotelId=71511941&checkIn=2024-09-09&checkOut=2024-09-10&adult=2&children=0&subStamp=945&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONawsjFJMEkxMTBKDWTkWPz8_X3WIUYjQzuM1pslXeM6T_0VWNGvYNn0A651tcvGx0CeCYxSnO2vg7cIWca4iBoy3V9cYFtkIMTO8fUB9_iJVhmMLbe71HayCgPUvIuwGEHI9MJxv-zcxYwHZv9mnEXEwvHu9tVh4DU-_18p5gYLjEx3GJieMTE8IqJ4RMTwy-IfBMzQxczwyRmsKpZzAyLmBmkeNNMk5JSU1LMLUzMDQ0VhDSO7j-2jc1IaRIjU0TEKUYpQ3MDMzNzQwMLC0NLMz3LRIvUkNz8qLTiEEcrZilGNw_GIDYDQ0tTQ9coLS7m0GAXwVKmWRzScTIOUsxhfi6KCRePlUxdY2SvBeIZwnhJrKl5uhERGfMEChi7GDkEGD0YIxgrGF8xglT9AHsVAIESeStAAQAA&subChannel=&masterhotelid_tracelogid=f5bbedd784711&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Deluxe Room,HN,Trip
Melia Hanoi,https://vn.trip.com/hotels/detail/?cityId=286&hotelId=993371&checkIn=2024-07-03&checkOut=2024-07-04&adult=2&children=0&subStamp=720&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONaz8jFJMEkxMTBKLWEkWPLyunPWIU4zU0sLA3MjA2MDGYxWmyVdUwDgbIOB89ZM4Fgb7dDAM8kRhlOzZj-Q1874hwERda5P6w6EungxMHxZuKsKYwSLDMYb1-w2cgIVm8Z5bCDkekE45IlyxkXMLV0b2PcxcTKceTmXsZDTCwcC7aKnWJiuMTEcIuJ4RETwysmhk9MDL-gCpqYGbqYGSYxg5XNYmZYxMwgxZuSZmmcaGSclmxuYp6kIKRx4V7HFjYjaw5GBUYtwfgQzzA_w8T03AKTTAtTs0xjA8ZJjExhfqcYpQzNDczMzA0NLCwMLc30LBMtUkNy86PSikMcrZilGN08GIPYHI2NTYzdorS4mEODXQQZwOCDvRRzmJ-LIoi94OYNBy0Qz3BmCNOcvduN7JNYyzJ1w_wybvEXMHYxcggwejBGMFYwvmIEqfoBCgUAc8bBK2MBAAA&subChannel=&masterhotelid_tracelogid=df93a23fc747b&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=vi-VN,Phòng Deluxe,HN,Trip
Movenpick Hotel Hanoi Centre,https://www.trip.com/hotels/detail/?cityId=286&hotelId=993377&checkIn=2024-07-30&checkOut=2024-07-31&adult=2&children=0&subStamp=1148&crn=1&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONazcjFJMEkxMTBKLWAkWNd1-rHrEKMRgb9ohY9bYyOxiDws8PBM2iHXOvrwB6HAJ5JjDKcDCAQdMRB8JtGTP-hhwcdnDg4fu5cNp1RgmUG48MLNisYGTcyguWORjnsYGQ6wbj2ySrGBUwr7vdb7mJi5bh49SDjISYWjiUfxU4xMVxiYrjFxPCIieEVE8MnJoZfUAVNzAxdzAyTmMHKZjEzLGJmkOJNSzEzNkxKNDe1tDSxUBDS-PSmYwubkTUHowKjlmB8iGeYn2Fiem6BSaaFqVmmsQHjJEamiIhTjFKG5gZmZuaGBhYWhpZmepaJFqkhuflRacUhjlbMUoxuHoxBbE4GJuaWxlFaXMyefkGCYC8yfLCXYg7zc1GM4pcIPMZf7KDFHBrsYmj63sLVXUjWIYk1NU83IiLjFn8BYxcjhwCjB2MEYwXjK0aQnh-ggAAACk4y7l8BAAA&subChannel=&masterhotelid_tracelogid=fd631ba759948&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1%7E17%7E1*80%7C0%7C1%7E80%7E0&hotelType=normal&barcurr=VND&locale=en-XX,Classic King Room,HN,Trip
Hotel du Parc Hanoi,https://www.trip.com/hotels/detail/?cityId=286&hotelId=993385&checkIn=2024-07-03&checkOut=2024-07-04&adult=2&children=0&subStamp=341&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAON6ysTFJMEkxMTBKHWLiaN304mFLBa_BR0Pf9WI6f_S6OD5DUgfWtjiEMBTyAACCSUOjYxnzwDBkWyHSYwHGTlBosYRXo6CIMakFDdHJSeO5xP6jQTyJL6_XrmEUYFRE6xTIcHBEMaw2MvnKN_6OnCHXbSDJ4wRxMLxb5N0FAvHjyXiSo4cu1vnaguISNze9H4y3IwDMDOADItYx2qRde4PvWIcPGEMoBEfdsoAjTg9XUJJXoEFoqvBH6oLyLB4xglU9G0lbxSDEyvHsweXGGcwvrxgs5Fx1kwgyAx12MHIdIKxZXH1AqZXh18z72KCKDrEBHTcMqFTTAyXmBhuMTE8AvKfTHN9xcTwCcg6vEf_F1RhEzNDFzPDJGaw8lnMYFWLmBmkeFPMDJMski2SzExMU80VhDTefOzYwmZkzQH0m5ZgfIhnmJ9hYnpugUmmhalZprEB4yRGpoiIU4xShuYGZmbmhgYWFoaWZnqWiRapIbn5UWnFIY5WzFKMbh6MQWzGTgYmBpZRWlzMYX4u4GhgYPhgLwXiKcJ4WiCe4cwQpjl7txvZJ7Gm5ulGRGTc4i9g7GLkEGD0YIxgrGB8xQhS9QMUIABOhxoXGQIAAA&subChannel=&masterhotelid_tracelogid=d61b8c8b645e7&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Deluxe King Room,HN,Trip
The Oriental Jade Hotel,https://www.trip.com/hotels/detail/?cityId=286&hotelId=38427456&checkIn=2024-07-17&checkOut=2024-07-18&adult=2&children=0&subStamp=708&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONaycTFJMEkxMTBKDWPiePhpkcPWS1-CzpyXV9cYHuj1cGTAQSOdTgE8BSCmT7THRoZY_oPfdU4N8lhEmMDIydQ8IBwV5yjIJDREPs10lHJhePvw6P6AooS03f_b2dUYNQE61SY5mAIY1hsFnWEGeIJYwSxclz9uY4pipWj8WAjk5K8AgtE44EgqEYgw-IZZxALx74__FEMTqwc5y-8YJ7BeGDbSqGNjOvcH1aJ5IU77GBkOsF4_vJUxgVMq-dOEdvFBFF2iImF422byCkmhktMDLeYGB4BxSd_28f0ionhExPExl9QpU3MDF3MDJOYwRpmMUPULWJmkOK1MDFMNTNISUxKNDe3VBDSePLv_BY2I2sOoB-1BONDPMP8DBPTcwtMMi1MzTKNDRgnMTJFRJxilDI0NzAzMzc0sLAwtDTTs0y0SA3JzY9KKw5xtGKWYnTzYAxiM3RzcnE2i9LiYg7zcxEEe5fhg70UiKcI42mBeIbNsfU3Pm80sk9iTc3TjYjIeMFfwNjFyCHA6MEYwVjB-IoRpOoHOFQAGUt0z94BAAA&subChannel=&masterhotelid_tracelogid=841e60daba779&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Oriental Pearl Twin,HN,Trip
Ha Noi Hotel (Kim Ma),https://www.trip.com/hotels/detail/?cityId=286&hotelId=712286&checkIn=2025-09-28&checkOut=2025-09-29&adult=2&children=0&subStamp=154&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAA_-NaycTFJMEkxMTBKDWPiePM6pniFr8FHWP6D33VqKlw8Dx7BgiOVDsE8BQygEBAm0Mj4w651teBNxodJjE2MHKCRC3SAxwFQYw1j7wdlVw47n756iygKNG479xHJgVGTbBOhlYHQxjD4qyEI8wQTxgjiJVjw5wZjFGsHHc2NjIqySuwQDW6wjS6Olg84wxi4bi4lzOKwYmV48HONqYZjPf2aK9gZNzICDRlh5yrl8MORqYTjF9eRyxgOjr_GtMuJoi6Q0wsHK8_c59iYrjExHCLieERULzx1kLGV0wMn5ggVv6CKm1iZuhiZpjEDNYwixmibhEzgxSvhbGRcaKhoaVFoqVBooKQxtTHh4-xGVlzMCowagnGh3iG-RnmJFmkFGZWGVkYGRgwTmJkiog4xShlaG5qYGBpbG5iaG5koZdiYmhimmWW6O0TEWTFLMXo5sEYxGbqbGzp6hylxcUc5uciuLPB6J3_ckN7KRBPEcbTAvEMYbwk1tQ83YiIjHnCBYxdjBwCjB6MEYwVjK8YQap-gIIFAAlXSjDdAQAA&subChannel=&masterhotelid_tracelogid=8323a1198a90a&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&barcurr=VND&locale=en-XX,Deluxe Room,HN,Trip
Grand Vista Hanoi (Kim Ma),https://www.trip.com/hotels/hanoi-hotel-detail-46038252/grand-vista-hanoi/?cityId=286&checkIn=2025-09-26&checkOut=2025-09-27&adult=2&children=0&subStamp=3001547&crn=1&ages=&travelpurpose=0&curr=VND&fgt=1&hasAidInUrl=true&mincurr=VND&minprice=1751011.00&mproom=1549241488&link=title&hoteluniquekey=H4sIAAAAAAAA_-Py5GKSYBJi4mCUsueYMPPeI1aL34IBHDMY3_z8KbqCkXEHI9NFRgYgsNpr4fgQzHq83crxBeOHc7daGRewMC5kBYlJbGBxlOLxzfBL88pPijDI90lWYNSYcfXwMTYPxiA2Y2dDcyOjKBku5jA_F8GdDUbv_Jcb2kuBeIowXhJrWaZumF_GHOEuRiYPxlWMDJ8Y-ZENjDcyBADAfJJHrQAAAA&subChannel=&masterhotelid_tracelogid=ec177926835a4ee8b016908910d89001&NewTaxDescForAmountshowtype0=F&detailFilters=17%7C1~17~1*80%7C1%7C0~80~1*19%7C286~19~286&hotelType=meta&trip_sub1=26_09_2025_1_mapresults_46038252_VN_desktop_default_14207735733__1_0-LANG_VN-landing&display=inctotal&locale=en-XX,Deluxe Twin Room,HN,Trip
