input_url,hotel_name,property_id,source,provider_id,review_id,rating,rating_text,title,text,text_original,title_original,positives,negatives,review_date,review_date_text,check_in,check_out,stay_month,author,country,traveler_type,room_type,nights,helpful_votes,reply,reply_by,reply_date,reply_date_text,language,photos,crawled_at
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Booking.com,3038,740087640,8.0,Excellent,Very good,,,,"Gut gelegenes Hôtel, Boutique-Stil, sehr freundliches zuvorkommendes Personal, reichhaltiges Frühstück, saubere und gepflegte Zimmer. Empfehlenswert.",Alles ok,2023-11-05,"November 05, 2023",,,,Johannes,,Couple,,0,0,,Au Lac Charner Hotel,,,de,,2026-07-16 15:04
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Agoda,332,761740886,10.0,Exceptional,Loved It,"Everyone was so nice and helpful. If you have any questions, the staff at the front desk and Jessica at the massage desk was so helpful. She gave us so many recommendations. Buffet breakfast was really nice as well we enjoyed it every morning. Very nice pool, sauna and steam room.  Very aesthetically pleasing. Everything we wanted to do and did do was either a 5 minute walk or 5 minute grab ride, so perfect location. Afternoon tea was really nice as well. ",,,,,2024-01-14,"January 14, 2024",2024-01-09,2024-01-10,January 2024,Alyssen,United States,Couple,Hamelin Executive Double Room,1,0,"Dear Valued Guest,
Warmest greetings from Au Lac Charner hotel.
Thank you for taking the time to share your experience with us.
We are glad to know that you got satisfied with our services and enjoyed a very relaxing time at Au Lac Charner. We hope to serve you again if you come back to Vietnam one day.
We wish you happiness and health in life!
Thank you & Best regards,
Au Lac Charner Management Team",Au Lac Charner Hotel,2024-01-22,"Responded January 22, 2024",en,,2026-07-16 15:04
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Booking.com,3038,733017328,9.0,Exceptional,Excellent,,,,Schönes Hotel in französischem Stil in ausgezeichneter Lage,,2023-10-25,"October 25, 2023",,,,Johann,,Family with young children,,0,0,,Au Lac Charner Hotel,,,de,,2026-07-16 15:04
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Agoda,332,761651812,8.4,Excellent,Excellent,"We booked a room with city view, and  we're given a room on the 4th floor with tall buildings surrounding us. No view at all! Quiet room but very small. Breakfast is excellent and they also offer a high tea daily from 2:30 to 4:30pm. We got there at 3pm and almost nothing available.  It's a charming hotel and the location is very good thought. ",,,,,2024-01-13,"January 13, 2024",2024-01-12,2024-01-17,January 2024,Harvey,United States,Couple,Vannier Premier Double Room,5,0,"Dear Valued Guest,
Warmest greetings from Au Lac Charner hotel.
We are glad you enjoyed your vacation at our hotel. From our accommodations and excellent service to the friendly staff, they are all our effort to make every moment of your vacation time special.
We will be delighted to have you back here at Au Lac Charner Hotel if your plan allows so. We promise to make your next trip an even more memorable one.
We are looking forward to welcoming you back in the future.
Best regards,
Au Lac Charner Management Team",Au Lac Charner Hotel,2024-01-22,"Responded January 22, 2024",en,,2026-07-16 15:04
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Booking.com,3038,733017454,10.0,Exceptional,Ausgezeichnetes Hotel in zentraler Lage.,,,,"Das Hotel liegt sehr zentral in Saigon und hat ein sehr schönes Interior. Auch das Zimmer war sehr schön. Das Frühstück war sehr lecker und vielseitig. Das Personal war super freundlich und hilfsbereit. Es gibts nichts zu meckern. Wenn wir wieder nach Saigon kommen, dann werden wir wieder hier übernachten!",,2023-10-21,"October 21, 2023",,,,Christine,,Couple,,0,0,,Au Lac Charner Hotel,,,de,,2026-07-16 15:04
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Agoda,332,760609155,10.0,Exceptional,Clean and comfy bedroom,"We loved the white colored room, designed in a classic style. The  bathtub with jet waters was very comfortable and spacious. ",,,,,2024-01-10,"January 10, 2024",2024-01-05,2024-01-06,January 2024,Leandro,Japan,Couple,Au Lac Charner Suite,1,0,"Dear Valued Guest,
Warmest greetings from Au Lac Charner hotel.
We are glad you enjoyed your vacation at our hotel. From our accommodations and excellent service to the friendly staff, they are all our effort to make every moment of your vacation time special.
We will be delighted to have you back here at Au Lac Charner Hotel if your plan allows so. We promise to make your next trip an even more memorable one.
We are looking forward to welcoming you back in the future.
Best regards,
Au Lac Charner Management Team",Au Lac Charner Hotel,2024-01-22,"Responded January 22, 2024",en,,2026-07-16 15:04
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Booking.com,3038,720149205,10.0,Exceptional,Exceptional,,,,"Super freundliches und aufmerksames Personal. Schöner Pool und Dachterrasse. Im Preis inbegriffen war eine Tea-Time bei der ebenfalls eine kleine Auswahl an Snacks serviert wurde. Das Frühstück war sehr umfangreich. Es gab kostenloses Wasser, Tee und Instantkaffee auf dem Zimmer.",Im Frühstücksraum war es teilweise sehr kalt. Das gebuchte Zimmer hatte nur ein 140 cm Bett. Für mein empfinden zudem etwas kürzer als gewohnt.,2023-09-28,"September 28, 2023",,,,Lena,,Couple,,0,0,,Au Lac Charner Hotel,,,de,,2026-07-16 15:04
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Agoda,332,759125888,8.8,Excellent,Comfort at best price,Nice location and good buffet breakfast. Comfortable room and clean and complete toilet amenities.,,,,,2024-01-09,"January 09, 2024",2024-01-08,2024-01-12,January 2024,leni,Philippines,Group,De La Somme Family Room,4,0,"Dear Valued Guest,
Thank you so much for choosing Au Lac Charner Hotel to stay during your planned trip and thank you for taking the time to share your experience with us.
We are delighted to read your feedback. The team will be thrilled to hear these kind words regarding our wonderful hotel, professional staff & magnificent breakfast.
We are looking forward to welcoming you back in the future.
Kind Regards,
Au Lac Charner Management Team",Au Lac Charner Hotel,2024-01-22,"Responded January 22, 2024",en,,2026-07-16 15:04
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Booking.com,3038,720149350,7.0,Very good,Trotz der zentralen Lage benötigt das Hotelzimmer dringend eine Renovierung,,,,"Die zentrale Lage.
Alles fußläufig erreichbar.
Es gibt viele Lokalitäten in der Nähe.
Das Zimmermädchen ist sehr freundlich und macht ihre Arbeit sehr ordentlich. Die Jessica war sehr nett und hat uns bei Allem geholfen, wo sie kann.","Wir hatten eine Junior Suite Bonard für 3 Nächte gebucht.
Das Zimmer roch stark nach Schimmelbefall. Wir haben die Rezeption informiert, aber sie haben lediglich das Zimmer überprüft, ohne weitere Maßnahmen ergriffen.
Wir hatten uns für das Zimmer mit Außendusche entschieden . Es ist zwar etwas Besonderes, aber sehr unpraktisch.
Das Frühstück war nicht umfangreich und auch nicht gut.
Das Personal im Frühstücksraum wirkte lustlos, kühl und wenig hilfsbereit. Viele Hotelangestellte standen nur herum und unterhielten sich laut, vor allem das Personal beim Mittagstee. 
Wir haben uns auf Grund der guten Bewertung für das Hotel entschieden, wurden aber letztlich enttäuscht.",2023-09-20,"September 20, 2023",,,,Duc-Hiep,,Couple,,0,0,,Au Lac Charner Hotel,,,de,,2026-07-16 15:04
https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Au Lac Charner,5794766,Agoda,332,758290858,9.6,Exceptional,Ho Chi Minh Trip ,"Great breakfast ,comfy bed in an ideal location in District 1 

Staff really do go above and beyond ",,,,,2024-01-07,"January 07, 2024",2023-12-31,2024-01-03,December 2023,John,Ireland,Couple,Bonard Junior Suite with Double Bed,3,0,"Dear Valued Guest,
Warmest greetings from Au Lac Charner hotel.
We are glad you enjoyed your vacation at our hotel. From our accommodations and excellent service to the friendly staff, they are all our effort to make every moment of your vacation time special.
We will be delighted to have you back here at Au Lac Charner Hotel if your plan allows so. We promise to make your next trip an even more memorable one.
We are looking forward to welcoming you back in the future.
Best regards,
Au Lac Charner Management Team",Au Lac Charner Hotel,2024-01-22,"Responded January 22, 2024",en,,2026-07-16 15:04
