hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Caravelle Saigon,Deluxe Twin Room,"₫4,023,119","₫5,191,122","₫7,527,127","₫7,397,349","₫7,527,127","₫7,527,127"
Lotte Hotel,Deluxe Twin City View,"₫3,218,318","₫3,283,051","₫4,708,884","₫5,860,384","₫3,998,215","₫4,365,923"
Pullman Saigon Centre Hotel,Superior 2 Single Beds,"₫3,800,000","₫5,700,000","₫5,100,000","₫6,180,000","₫7,230,000","₫7,100,000"
Sofitel,"Superior Room, 1 King Size Bed, city view","₫4,300,000","₫4,950,000",SOLD OUT,"₫4,505,000","₫5,195,370","₫6,745,000"
Nikko,Deluxe King,"₫3,757,246","₫4,828,288","₫6,368,249","₫6,368,249","₫6,364,641","₫5,578,051"
