Hotel,URL,Room to be extracted,,
Park Hotel Dalat,https://www.agoda.com/dalat-plaza-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=3bc0e22c-8273-4975-9960-d634f00f8424&ds=lWl7YEvBlXuOH7%2Bh&checkin=2026-01-26,Standard Twin,,
Grand Signature by M Village Hoi An,https://www.agoda.com/hoi-an-silk-village-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=ce50f332-2f10-4e54-a3b0-323970ea6373&ds=ewZZqMsZVtPh3VLY&checkin=2026-02-02,Deluxe Garden View Twin Room,,
Sheraton,http://www.agoda.com/sheraton-nha-trang-hotel-spa/hotel/nha-trang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-04-17&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=2915da39-c203-4f33-9113-30085acabe36,"Guest room, 2 Twin, Ocean view",,
Express NBK,https://www.agoda.com/express-by-m-village-nguy-n-b-nh-khiem/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=3dc83b64-e055-4dab-b712-526517138eed&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-09-02,Deluxe Room,,
Express VVK,https://www.agoda.com/express-by-m-village-vo-van-ki-t/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1833981&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-03-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=6&los=1&searchrequestid=39e277b2-adbf-445f-a948-c3c7ba15d3ab&ds=sg8pjo5ADIEJQXBl,Standard Room without Window,,
Living 59 Thảo Điền,https://www.agoda.com/m-village-59-th-o-di-n/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=7c32cfba-1c15-45ed-a8a1-ac4285be8f20&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-08-31,Standard Studio,,
Living Kỳ Đồng,https://www.agoda.com/m-village-k-d-ng/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=f0d7518a-d081-446c-9843-f93ecbe63c31&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-08-31,Superior Room with Window,,
M Village Beachfront,https://www.agoda.com/signature-by-m-village-beachfront-resort-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-31&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=8b7a98ac-e814-4133-8cdb-b22ff77cee88&ds=RO3ZU6JUu9Rt6DDC,Deluxe City View,,
M Village ĐN Centre,https://www.agoda.com/m-village-hotel-da-nang-centre/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2025-03-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=e7cd00ee-740b-44b3-8d3d-8a80d13fc8a9&los=1&searchrequestid=97546e62-4537-442b-b052-6063ece452ff&ds=xH2aPslxijMnVZ10,Superior Cozy Room for 2 People,,
M Village ĐN Heritage,https://www.agoda.com/signature-by-m-village-da-n-ng-heritage/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2025-03-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=e7cd00ee-740b-44b3-8d3d-8a80d13fc8a9&los=1&searchrequestid=8dc2ac0c-fc6b-4260-9efb-ebddb4fceb06,Standard Room,,
