Hotel,URL,Room to be extracted,Location,Platform
Silverland May,https://www.agoda.com/en-gb/may-hotel-saigon_2/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=9d32ce8a-3b15-4430-9ac4-c598491d7a1e&ds=YRL4D6dXDtLvkuWi&checkin=2023-12-02,Narra Double,TTD,Agoda
Silverland May,https://www.agoda.com/en-gb/may-hotel-saigon_2/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=9d32ce8a-3b15-4430-9ac4-c598491d7a1e&ds=YRL4D6dXDtLvkuWi&checkin=2023-12-02,Narra Twin - No Window,TTD,Agoda
Amanaki,https://www.agoda.com/en-gb/amanaki-saigon-boutique-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=e188997b-5a3b-4f5d-9f3b-10f4a2ab94c4&ds=Jxkz%2BJdTWWqcFwfi&checkin=2023-12-23,Signature Double Room,TTD,Agoda
Amanaki,https://www.agoda.com/en-gb/amanaki-saigon-boutique-hotel/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=e188997b-5a3b-4f5d-9f3b-10f4a2ab94c4&ds=Jxkz%2BJdTWWqcFwfi&checkin=2023-12-23,Signature Twin Room,TTD,Agoda
Wink,https://www.agoda.com/en-gb/wink-hotel-saigon-centre/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0d9cab51-f874-4830-94f2-d128425a837f&ds=Vg54WImh47fuGWrM&checkin=2023-12-23,1 Queen Bed,TTD,Agoda
Wink,https://www.agoda.com/en-gb/wink-hotel-saigon-centre/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0d9cab51-f874-4830-94f2-d128425a837f&ds=Vg54WImh47fuGWrM&checkin=2023-12-23,2 Twin Beds,TTD,Agoda
Au Lac Charner,https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Ruffier Deluxe Twin Room without Window,TTD,Agoda
Au Lac Charner,https://www.agoda.com/en-gb/silverland-charner/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=fc27357f-de79-4ce4-9c7f-04f214d79b9a&ds=zb%2Bq4M5wYVlaMl50&checkin=2024-01-15,Vannier Premier Twin Room,TTD,Agoda
Silverland Ben Thanh_Spring Field - No Window,https://www.agoda.com/en-gb/silverland-ben-thanh/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=f3dfa2e7-b20a-4f93-87d4-3c1bc711a367&ds=nX8j45SUAw8I%2FYVG&checkin=2024-02-12,Spring Field - No Window,TTD,Agoda
Silverland Ben Thanh_Sunshine Garden - Double or Twin,https://www.agoda.com/en-gb/silverland-ben-thanh/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=f3dfa2e7-b20a-4f93-87d4-3c1bc711a367&ds=nX8j45SUAw8I%2FYVG&checkin=2024-02-12,Sunshine Garden - Double or Twin,TTD,Agoda
