Hotel,URL,Room to be extracted,Location,Platform
Fukura (Boutique - Kim Ma),https://www.trip.com/hotels/hanoi-hotel-detail-30012114/fukurai-boutique-apartments-ha-noi/?cityId=286&checkIn=2025-09-28&checkOut=2025-09-29&adult=2&children=0&subStamp=3001547&crn=1&ages=&travelpurpose=0&curr=VND&fgt=1&hasAidInUrl=true&mincurr=VND&minprice=1697185.00&mproom=1497512269&link=title&hoteluniquekey=H4sIAAAAAAAA_-Ny5WKSYBJi4mCUsuY4-6njFKsQo5HBDn6LvuwAjhmMl54u51vByLiDkekiIwMQ9Pwyd3wIZi18aun4gnHvkldfGBewMErx-FqmJ0V4uiWFZpSHKjBqvFt_-BibB2MQm6upoZmLYZQMF3NosIugyDr3h1UlMg5SzGF-Lopv1O5zeq4wtE9iLcvUDfPLmCfcxcjkwbiKkZ2L2cDIUIDpEyM_srnxRuYA5zrpKbAAAAA&subChannel=&masterhotelid_tracelogid=69c01654439f4583b30291d8ae1cf2da&NewTaxDescForAmountshowtype0=F&detailFilters=17%7C1~17~1*80%7C1%7C0~80~1*19%7C286~19~286&hotelType=meta&trip_sub1=28_09_2025_1_mapresults_30012114_VN_desktop_default_14207735733__1_0-LANG_VN-landing&display=inctotal&locale=en-XX,Standard Room,HN,Trip
Lotte Hotel (Khu Nhat Han HN),https://www.trip.com/hotels/hanoi-hotel-detail-96297576/lotte-hotel-hanoi/?cityId=286&checkIn=2025-09-28&checkOut=2025-09-29&adult=2&children=0&subStamp=3001547&crn=1&ages=&travelpurpose=0&curr=VND&fgt=1&hasAidInUrl=true&mincurr=VND&minprice=3358822.00&mproom=1642718994&link=title&hoteluniquekey=H4sIAAAAAAAA_-OK4GKSYBJi4mCU8uOYdG55P5sQp6G5sZGJubGBkcEFMYsfnYwBHDMYXxz5qruCkXEHI9NFRgYgcNrl7vgQzDJe4On4gvHM-U8bGBewMC5kBYlFfBB2lOLxdXMKN_Isc0txNAlUYNRoPnr4GJsHYxCbsZmZgYtrlAwXc5ifi-CHgxPjbi43tJcC8RRhvCTWskzdML-MecJdjEwejKsY2bmYDYwMBZg-MfIjmxtvbAAA5Guqj8MAAAA&subChannel=&masterhotelid_tracelogid=7abc5ce709f44dcdaeea13cf35fa7780&NewTaxDescForAmountshowtype0=F&detailFilters=17%7C1~17~1*80%7C1%7C0~80~1*19%7C286~19~286&hotelType=meta&trip_sub1=28_09_2025_1_mapresults_96297576_VN_desktop_selected___0_0-LANG_VN-landing&display=inctotal&locale=en-XX,Deluxe Twin Room,HN,Trip
Pullman Hotel (Khu Nhat Han HN),https://www.trip.com/hotels/detail/?cityId=286&hotelId=1484364&checkIn=2025-09-28&checkOut=2025-09-29&adult=2&children=0&subStamp=1800&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAA_-O6zcTFJMEkxMTBKHWBiWP52p4TrEKMRgbyFl8FHeVbXwfumNLo4Ml1fXGB7YdmhwCeQgYwcHRoZHxYJbLOXTDYYRLjZkZOoFjDCg5nR0EQ45Cug6OSE8ft05dcBPIkTva-_cKkwKgJ02kIY1js5XPsP_RVI6bfxsETxghi4Th6jj2KhWPtHjYlHY79W3c4CuRL3F6z5yHQDIuHYlh0MEBVq3G0HuzXECgHqtsr6pgGAmrGDp4wBljdvtUsTqwcFxfNYJzBeOZM1EbGGJAxd4IcdjAynWCccKJ-AdPByeK7mCBqDjGxcPzpFjzFxHCJieEWE8MjJrDrXjExfAKyZiwR_AVV2MTM0MXMMIkZrHwWM1jVImYGKV5zc0uTlCTDxBSjlLQ0BSGNs_cPH2MzsuZgVGDUEowP8QzzM8xJskgpzKwysjAyMGCcxMgUEXGKUcrQ3NTAwNLY3MTQ3MhCL8XE0MQ0yyzR2yciyIpZitHNgzGIzdTcyNDEOEqLiznMz0VwZ4PRO__lhvZSIJ4ijKcF4hnCeEmsqXm6EREZ84QLGLsYOQQYPRgjGCsYXzGCVP0AhQcAEwxNhw8CAAA&subChannel=&masterhotelid_tracelogid=7794db1ad2dff&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&barcurr=VND&locale=en-XX,Superior Twin Room with City View,HN,Trip
Dolce Wyndham (Khu Nhat Han HN),https://www.trip.com/hotels/detail/?cityId=286&hotelId=68045905&checkIn=2025-09-28&checkOut=2025-09-29&adult=2&children=0&subStamp=975&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAA_-N6z8TFJMEkxMTBKPWEiWPChSffWC1-CzoW2nJdX2zQ6OCZBgINzQ4BPIUMIPBjhkMjI1CuwPbcFIdJjEcYOUGiq8rjHQWBdEPA_ihHJReO__M_OAsoSbS3bf7IpMCoCdbJMtXBEMawOM3o-E0jpv_QrYkOnjBGECvH1rMbmKJYORq-NjEpOXF8v3tXSyBP4uCTW3sZYaY8yIaaAmRY7OVzXFIAdOnsdAdPGCOIhePIGqMoFo63T7WU5BVYINoY7KDagAyLZ5xARauusUUxOLFyrNj7nXkG48UZOxVWMDJuZFzn_rBKpC7IYQcj0wnG_d21C5ienXtmtosJovAQEwvHsYcCp5gYLjEx3GJieAQUX3zhJdMrJoZPQObbW2uZfkGVNjEzdDEzTGIGa5jFDFG3iJlBitfMzCLZxMLMwjAtLclYQUjj4sPDx9iMrDmAftQSjA_xDPMzzEmySCnMrDKyMDIwYJzEyBQRcYpRytDc1MDA0tjcxNDcyEIvxcTQxDTLLNHbJyLIilmK0c2DMYjNzNzU3MUwSouLOczPRXBng9E7_-WG9lIgniKMpwXiGcJ4SaypeboRERnzhAsYuxg5BBg9GCMYKxhfMYJU_QCHCwDOtL9TJAIAAA&subChannel=&masterhotelid_tracelogid=668c48681ffb3&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&barcurr=VND&locale=en-XX,Golden Classic Twin,HN,Trip
Hanoi Daewooo (Khu Nhat Han HN),https://www.trip.com/hotels/detail/?cityId=286&hotelId=993426&checkIn=2025-09-28&checkOut=2025-09-29&adult=2&children=0&subStamp=864&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAA_-NaysjFJMEkxMTBKDWLkePxx4etTELMhgZGBvcZLbbKO15fXGDLVdvg4BnTf-irxromhwCeSYySnEE75FpfM4Y6CKaBgFqQgxMrR8_OdsYZjJMu2mxk1ASp7gh02MHIdILx8bHyBUxds18z7mKCKDrExMKx8hP_KSaGS0wMt5gYHjExvGJi-MTE8AuqoImZoYuZYRIzWNksZoZFzAxSvEbm5slG5gaGFmmWFuYKQhrbHh0-xmZkzcGowKglGB_iGeZnmJNkkVKYWWVkYWRgwDiJkSki4hSjlKG5qYGBpbG5iaG5kYVeiomhiWmWWaK3T0SQFbMUo5sHYxCbs4mZmZtzlBYXc2iwi-Bi5Z1_2ktkHKSYw_xcFHc2GL3zX25orwXiGcJ4SaypeboRERnzhAsYuxg5BBg9GCMYKxhfMYJU_QAFAgCBL3FxWQEAAA&subChannel=&masterhotelid_tracelogid=277c27018f987&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&display=exavg&barcurr=VND&locale=en-XX,Deluxe King Room,HN,Trip
Sheraton Hanoi Hotel,https://www.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=993421&checkIn=2026-01-05&checkOut=2026-01-06&adult=2&children=0&crn=1&ages=&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-P6zszFJMEk9YGZY_auD39ZhRiNDDgtPgk6Vousc394e5KDZ-vrwB1yp6c6BPDMYOy9aLOCkXEjY9AOudbXlekOOxiZTjAuuDKJaQFT38pXzKdYWDhW3NO6xPKLKbpaKTu1UsnKREepJLMkJ1XJSinMMURJRykltTgZyAGyEnPzS_NKgGxjC1MjAwM9AwOgYElihWcKWFtyYk5yaU5iSWpIZQFQu5mOUmaxc0lRZkFQam5mSUkqUFVaYk5xKkg8KLUYKJMMFlTyAxpTBBXIzM-DaDdAEQtLzClNhbgCaKFbKtQOw1odTGcHpxaVZSanKiRnJBalp-LwgaGpAZoPzKntA0NifGBcG_uIhSk69hMLwy8WhiZWhi5WhkmsrBwnNu1l2sXKE-jl6xhqpmuoG6VrKCVvCHSzqaGxqamuQaKlRZq5pYWuiaWBkYW5rqW5saWJxvY1VxatNzYyUWDUEowP8QzzMyy3rCjPzClIMzQyMWA8xShlaG5qYGhubGxoYWZuqJeSaG5hWZlRlZTj7ubBGMTm4uxkZmQYZcPFHObnIvgw5-CnV5MN7aVAPEUYTwvEM4TxAsu2tsxQfcxsHwkTSWJNzdONiMhoFClg7GLkFmD0YIxgrGBsYGRcxcjOxWxgZCjAtIGRcQfjfxhgfMUIMhMAbbN9q9kCAAA&edmHotelData=&masterhotelid_tracelogid=100051355-0a98f798-490287-97394&detailFilters=17%7C1%7E17%7E1*31%7C993421%7E31%7E993421*80%7C0%7C1%7E80%7E0*29%7C1%7E29%7E1%7C2&hotelType=normal&display=exavg&subStamp=120&isCT=true&isFlexible=F&locale=en-XX,Deluxe Twin Room,HN,Trip
Sheraton Hanoi West,https://www.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=120053260&checkIn=2026-01-05&checkOut=2026-01-06&adult=2&children=0&crn=1&ages=&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-P6wczFJMEk9ZGZ482a739ZhRiNDDgtPgk6Limw5bo-vc_B0-Nhlci6iIkOATwzGHv2zLdcwci4kXGdO1A0LcFhByPTCcYLj-8xLmD6PKPD8hQLC0fPW9lLLL-YoquVslMrlaxMdJRKMktyUpWslIJTi8oyk1MVkjMSi9JTlXSUUlKLk4HiQFZibn5pXgmQbWhhZGpgoGdgABQsSazwTFGyMtdRSk7MSS7NSSxJDaksAJpkpqOUWexcUpRZEJSam1lSkgpUlZaYU5wKEg9KLQbKJIMFlfyAxhRBBTLz8yDaDVDEwhJzSlMhrgBa6JYKtcO4VgfTB2GOIdidbWxgZobmbBNqO9uQGGcb1sY-YmGKjv3EwvCLhaGJlaGLlWESKyvHnQt_GHex8gR6GTg7-eka6kbpGkopGhoYGBiZmhqZ6xokWiaaGCYm6ppYGhhZmOsaGxmYW5qaabSfu7JovbGRiQKjlmB8iGeYn2G5ZUV5Zk5BmqGRiQHjKUYpQ3NTA0NzY2NDCzNzQ72URHMLy8qMqqQcdzcPxiA2V0tLFyfHKBsu5jA_F8GHOQc_vZpsaC8F4inCeFogniGMF1i2tWWG6mNm-0iYSBJrap5uRERGo0gBYxcjtwCjB2MEYwVjAyPjKkZ2LmYDI0MBpg2MjDsY_8MA4ytGkJkAkEqC-9wCAAA&edmHotelData=&masterhotelid_tracelogid=100025527-0a9a41aa-490287-3207956&detailFilters=17%7C1%7E17%7E1*31%7C993421%7E31%7E993421*80%7C0%7C1%7E80%7E0*29%7C1%7E29%7E1%7C2&display=exavg&subStamp=1067&isCT=true&isFlexible=F&locale=en-XX,"Deluxe, Guest Room, 1 King, Sofa Bed, City View",HN,Trip
JW Marriott Hotel Hanoi,https://www.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=1586986&checkIn=2025-12-22&checkOut=2025-12-23&adult=2&children=0&crn=1&ages=&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-P6xszFJMEk9Z6Z49TMD39ZhRiNDDgtPgk67pBrfR34eLqD5zeNmP5DYrMdAnhmMK56l7CCkXEj45tAoPTsTIcdjEwnGBd8vs20gOnxDY1TLCwcM87rXWL5xRRdrZSdWqlkZaKjVJJZkpOqZKUUnFpUlpmcqpCckViUnqqko5SSWpwMFAeyEnPzS_NKgGwjC1MDAwM9AwOgYElihWeKkpW5jlJyYk5yaU5iSWpIZQHQJDMdpcxi55KizIKg1NzMkpJUoKq0xJziVJB4UGoxUCYZLKjkBzSmCCqQmZ8H0W6IIhaWmFOaCnEF0EK3VKgdxrU6mD4IcwzB7mwTcwsLNGebUNvZBsQ427A29hELU3TsJxaGXywMTawMXawMk1hZOXYc6mLexcoT6OXr5Wiia6gbpWsopWAIDGpTQ2NTU12DREuLVFOLFF0TSwMjC3NdQyMTY2MLjVVrWhavNzYyUWDUEowP8QzzMyy3rCjPzClIAyowYDzFKGVobmpgaG5sbGhhZm6ol5JobmFZmVGVlOPu5sEYxOZs4eZmZhZlw8Uc5uci-DDn4KdXkw3tpUA8RRhPC8QzhPECy7a2zFB9zGwfCRNJYk3N042IyPgsXMDYxcgtwOjBGMFYwdjAyLiKkZ2L2cDIUIBpAyPjDsb_MMD4ihFkJgBa-26Q2QIAAA&edmHotelData=&masterhotelid_tracelogid=100051355-0a98e58d-490287-124338&detailFilters=17%7C1%7E17%7E1*31%7C1586986%7E31%7E1586986*80%7C0%7C1%7E80%7E0*29%7C1%7E29%7E1%7C2&hotelType=normal&display=exavg&subStamp=560&isCT=true&isFlexible=F&locale=en-XX,"Deluxe King, Guest Room, 1 King Bed",HN,Trip
L7 WEST LAKE HANOI BY LOTTE - L7 RESIDENCES,http://trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=119719242&checkIn=2026-01-05&checkOut=2026-01-06&adult=2&children=0&crn=1&ages=&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-NazMLFJMEkNYeF4-nB_hlsQlyGBkbmBoamZgZGBhfELH50Mjracl1fXKDe6eA5ayYQ5PY4BPAUMoBARbtDI2Pr68AdcksbHWYwnurqttzI-LBKZJ27YZTDDkamE4x_N21nXMD0p-2GzSkWFo4Hr8Uvsfxiiq5Wyk6tVLIy0VEqySzJSVWyUgpzDFHSUUpJLU4GcoCsxNz80rwSINvIxMDYwkTPwAAoWJJY4ZkC1pacmJNcmpNYkhpSWQDUbqajlFnsXFKUWRCUmptZUpIKVJWWmFOcChIPSi0GyiSDBZX8gMYUQQUy8_Mg2g1RxMISc0pTIa4AWuiWCrXDsFYH09nBqUVlmcmpCskZiUXpqdh9YGhqAPQEig_Mqe0DA2J8YFwb-4iFKTr2EwvDLxZWjt1XVzE2sTJ0sTJMYmXluDvvPOMuVsEgdydf4yhd8wBzT0tX3ShdwwusOzoeMUnJGRoYGJgaGpua6hokWhpbGBhZ6ppYGhhZWOiaGpmYaLTMnLl4vbGRiQKjlmB8iGeYn2G5ZUV5Zk5BmiHQ84ynGKUMzU0NDM2NjQ0tzMwN9VISzS0sKzOqknLc3TwYg9iMHZ3MXAyibLiYw_xcBB_mHPz0arKhvRSIpwjjaYF4hjBeYNnWlhmqj5ntI2EiSaypeboRERmNIgWMXYzcAowejBGMFYwNjIyrGNm5mA2MDAWYNjAy7mD8DwOMrxhBZgIAhDbT2QQDAAA&masterhotelid_tracelogid=100051355-0a938029-490288-5244&detailFilters=17%7C1~17~1*31%7C119719242~31~119719242*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=270&isCT=true&isFlexible=F&locale=en-XX,One Bedroom Apartment,HN,Trip
L7 WEST LAKE HANOI by LOTTE HOTELS,https://www.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=106511419&checkIn=2026-01-05&checkOut=2026-01-06&adult=2&children=0&crn=1&ages=&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-NaxMLFJMEkNZuFY-3U9f1sQlyGBkbmBoamZgZGBhfELH50MjrOmgkEjp0Onpox_Ye-dvU4BPAUMoDAhyqHRkb51teBO26VOcxg3P3jidFGxmqRde4PvaIcdjAynWBc37ODcQHTkbYbNqdYWDjWfxe_xPKLKbpaKTu1UsnKREepJLMkJ1XJSik4tagsMzlVITkjsSg9VUlHKSW1OBkoDmQl5uaX5pUA2YamBhaGRnoGBkDBksQKzxQlK3MdpeTEnOTSnMSS1JDKAqBJZjpKmcXOJUWZBUGpuZklJalAVWmJOcWpIPGg1GKgTDJYUMkPaEwRVCAzPw-i3QBFLCwxpzQV4gqghW6pUDuMa3UwfRDmGILd2UYmhkaWlijONqG2sw2JcbZhbewjFqbo2E8sDL-AkXHrU2ITK0MXK8MkVlaOe80XGHexCga5Ogd7mOqaB5h7WrrqRukaXmDt_D-TSUrB0MDAwMjU1Mhc1yDR0sLMMDlZ18TSwMjCQtfQ1NTAwFjjyvKZi9cbG5koMGoJxod4hvkZlltWlGfmFKQZGpkYMJ5ilDI0NzUwNDc2NrQwMzfUS0k0t7CszKhKynF382AMYnNzczWyNI-y4WIO83MRfJhz8NOryYb2UiCeIoynBeIZwniBZVtbZqg-ZraPhIkksabm6UZEZDSKFDB2MXILMHowRjBWMDYwMq5iZOdiNjAyFGDawMi4g_E_DDC-YgSZCQBKs8rmBQMAAA&masterhotelid_tracelogid=100025527-0a9861cc-490288-155003&detailFilters=17%7C1%7E17%7E1*31%7C119719242%7E31%7E119719242*80%7C0%7C1%7E80%7E0*29%7C1%7E29%7E1%7C2&display=exavg&subStamp=1335&isCT=true&isFlexible=F&locale=en-XX,Superior Convertible,HN,Trip
